TimeStamp,TurbID,Day,Wspd,Wdir,Etmp,Itmp,Ndir,Prtv,Patv
2023-01-01 00:00:00,1,1,2.81,-2.0,16.61,30.95,148.0,-19.38,111.13
2023-01-01 00:15:00,1,1,2.48,-4.3,16.38,30.83,148.0,-15.69,75.3
2023-01-01 00:30:00,1,1,1.16,9.28,16.62,31.05,135.0,-2.5,9.54
2023-01-01 00:45:00,1,1,0.92,14.38,16.13,31.2,148.0,-0.7,0.0
2023-01-01 01:00:00,1,1,1.38,-4.28,15.12,29.52,148.0,-0.3,0.0
2023-01-01 01:15:00,1,1,2.47,53.36,14.94,29.75,148.0,-0.3,0.0
2023-01-01 01:30:00,1,1,1.54,65.5,14.81,29.85,148.0,-0.3,0.0
2023-01-01 01:45:00,1,1,3.48,80.5,15.06,29.67,148.0,-0.3,0.0
2023-01-01 02:00:00,1,1,1.97,-5.88,16.75,30.08,228.0,-0.3,0.0
2023-01-01 02:15:00,1,1,3.36,3.7,17.63,30.52,217.0,-24.0,108.44
2023-01-01 02:30:00,1,1,2.71,-1.3,15.5,29.6,217.0,-17.13,86.78
2023-01-01 02:45:00,1,1,3.96,-2.0,15.25,28.55,228.0,-35.5,169.53
2023-01-01 03:00:00,1,1,3.4,-6.71,15.19,28.33,228.0,-37.5,164.86
2023-01-01 03:15:00,1,1,4.34,-7.39,14.44,28.0,217.0,-37.5,162.88
2023-01-01 03:30:00,1,1,3.69,0.6,14.25,27.92,206.0,-32.5,141.53
2023-01-01 03:45:00,1,1,3.41,1.3,13.5,27.5,206.0,-30.0,135.88
2023-01-01 04:00:00,1,1,2.78,2.5,13.19,27.52,206.0,-27.0,92.94
2023-01-01 04:15:00,1,1,1.81,11.56,13.06,27.52,206.0,-10.19,41.47
2023-01-01 04:30:00,1,1,1.76,0.1,13.0,27.5,219.0,-11.69,42.14
2023-01-01 04:45:00,1,1,1.6,-3.7,12.81,27.58,219.0,-7.59,35.8
2023-01-01 05:00:00,1,1,2.0,-2.31,12.88,27.58,206.0,-11.69,53.8
2023-01-01 05:15:00,1,1,1.67,13.07,12.56,27.6,206.0,-7.59,29.61
2023-01-01 05:30:00,1,1,2.83,2.69,12.5,27.25,206.0,-11.69,66.28
2023-01-01 05:45:00,1,1,2.7,8.58,12.38,27.15,206.0,9.75,91.6
2023-01-01 06:00:00,1,1,2.37,4.02,12.38,27.08,206.0,-17.5,97.27
2023-01-01 06:15:00,1,1,4.84,-9.54,12.25,26.65,206.0,-40.0,202.56
2023-01-01 06:30:00,1,1,7.65,-6.12,13.31,26.6,204.0,-64.0,354.21
2023-01-01 06:45:00,1,1,9.57,2.4,12.94,26.33,196.0,-54.0,279.18
2023-01-01 07:00:00,1,1,8.31,2.9,12.75,26.02,196.0,-38.25,346.27
2023-01-01 07:15:00,1,1,7.72,-4.28,12.88,26.17,196.0,-63.25,386.32
2023-01-01 07:30:00,1,1,5.34,-0.8,11.75,26.38,196.0,-54.5,381.33
2023-01-01 07:45:00,1,1,7.03,2.09,11.88,26.55,187.0,-124.5,656.56
2023-01-01 08:00:00,1,1,6.5,1.4,11.56,26.55,187.0,-104.0,578.31
2023-01-01 08:15:00,1,1,5.89,2.7,11.56,26.55,187.0,-131.0,634.79
2023-01-01 08:30:00,1,1,6.67,2.3,11.5,26.75,187.0,-120.0,606.74
2023-01-01 08:45:00,1,1,6.03,1.2,11.62,26.98,187.0,-116.0,529.9
2023-01-01 09:00:00,1,1,4.81,3.9,11.19,26.98,187.0,-64.5,276.21
2023-01-01 09:15:00,1,1,4.35,10.57,11.06,26.67,187.0,-14.19,222.77
2023-01-01 09:30:00,1,1,4.6,-2.01,12.0,26.73,206.0,-54.0,273.34
2023-01-01 09:45:00,1,1,5.36,13.6,12.5,26.92,206.0,-58.5,298.65
2023-01-01 10:00:00,1,1,4.65,12.52,12.93,27.15,214.0,-56.5,210.63
2023-01-01 10:15:00,1,1,5.95,10.06,13.5,27.35,212.0,-42.75,217.05
2023-01-01 10:30:00,1,1,8.04,0.9,14.19,27.35,229.0,-45.5,237.91
2023-01-01 10:45:00,1,1,6.83,8.08,14.31,27.25,258.0,-73.5,349.25
2023-01-01 11:00:00,1,1,7.7,-6.51,14.62,27.58,241.0,-65.0,324.83
2023-01-01 11:15:00,1,1,8.08,9.28,14.94,27.58,242.0,-53.75,319.82
2023-01-01 11:30:00,1,1,7.22,-1.5,14.88,27.58,240.0,-47.75,222.58
2023-01-01 11:45:00,1,1,7.33,-8.9,15.06,28.0,256.0,-23.0,260.82
2023-01-01 12:00:00,1,1,7.01,6.2,15.56,28.0,240.0,-62.75,304.12
2023-01-01 12:15:00,1,1,5.97,1.3,15.38,28.08,260.0,-46.75,221.04
2023-01-01 12:30:00,1,1,6.47,4.8,15.69,28.3,236.0,-55.0,217.88
2023-01-01 12:45:00,1,1,6.99,3.9,16.12,28.5,234.0,-41.25,219.11
2023-01-01 13:00:00,1,1,5.57,-8.27,16.5,28.7,264.0,-44.25,216.12
2023-01-01 13:15:00,1,1,4.02,-8.25,16.63,29.0,241.0,1.4,217.35
2023-01-01 13:30:00,1,1,4.24,12.24,16.63,29.17,256.0,-37.5,193.93
2023-01-01 13:45:00,1,1,6.04,7.51,17.13,29.52,266.0,-60.5,313.57
2023-01-01 14:00:00,1,1,5.51,-11.09,17.5,30.1,262.0,-72.5,328.89
2023-01-01 14:15:00,1,1,5.1,0.1,17.62,30.35,233.0,-70.0,324.92
2023-01-01 14:30:00,1,1,1.99,-5.21,17.87,30.55,256.0,-8.38,87.39
2023-01-01 14:45:00,1,1,3.71,16.3,17.87,31.0,248.0,-2.5,149.44
2023-01-01 15:00:00,1,1,2.01,23.8,18.0,31.02,253.0,-10.88,73.72
2023-01-01 15:15:00,1,1,3.66,-10.22,18.13,31.45,268.0,-25.13,120.04
2023-01-01 15:30:00,1,1,3.55,-9.73,18.62,31.08,251.0,-26.63,114.89
2023-01-01 15:45:00,1,1,2.08,-15.88,18.75,31.73,240.0,5.09,26.01
2023-01-01 16:00:00,1,1,4.26,-14.39,20.0,32.0,242.0,-24.0,155.91
2023-01-01 16:15:00,1,1,1.45,39.0,19.12,32.15,236.0,-0.3,0.0
2023-01-01 16:30:00,1,1,2.34,42.19,19.62,32.75,236.0,-0.3,0.0
2023-01-01 16:45:00,1,1,1.27,-22.91,19.87,33.2,236.0,-0.3,0.0
2023-01-01 17:00:00,1,1,2.73,-13.5,19.87,33.0,236.0,-0.3,0.0
2023-01-01 17:15:00,1,1,1.12,26.8,20.25,33.35,236.0,-0.3,0.0
2023-01-01 17:30:00,1,1,1.58,-21.22,21.0,33.4,256.0,-0.3,0.0
2023-01-01 17:45:00,1,1,1.36,-14.26,20.75,33.75,238.0,-0.3,0.0
2023-01-01 18:00:00,1,1,1.91,4.7,20.37,33.95,288.0,-0.3,0.0
2023-01-01 18:15:00,1,1,1.55,39.32,21.0,34.2,262.0,-0.3,0.0
2023-01-01 18:30:00,1,1,1.23,2.7,20.5,34.2,262.0,-0.3,0.0
2023-01-01 18:45:00,1,1,1.73,34.44,20.12,33.8,262.0,-0.3,0.0
2023-01-01 19:00:00,1,1,1.22,40.51,20.12,33.65,262.0,-0.3,0.0
2023-01-01 19:15:00,1,1,1.98,41.07,20.0,33.2,262.0,-0.3,0.0
2023-01-01 19:30:00,1,1,1.73,43.45,19.13,32.65,262.0,-0.3,0.0
2023-01-01 19:45:00,1,1,2.67,41.51,18.5,32.2,262.0,-0.3,0.0
2023-01-01 20:00:00,1,1,1.73,-6.89,20.12,32.25,298.0,-0.3,0.0
2023-01-01 20:15:00,1,1,1.79,-18.54,18.62,32.15,298.0,-0.3,0.0
2023-01-01 20:30:00,1,1,1.48,-11.91,18.12,31.83,298.0,-0.3,0.0
2023-01-01 20:45:00,1,1,1.95,-16.84,17.62,31.58,298.0,-0.3,0.0
2023-01-01 21:00:00,1,1,3.92,-33.85,17.37,31.27,298.0,-0.3,0.0
2023-01-01 21:15:00,1,1,1.88,3.89,19.25,31.58,274.0,6.5,41.01
2023-01-01 21:30:00,1,1,2.38,-7.79,19.75,32.75,274.0,-11.69,69.01
2023-01-01 21:45:00,1,1,1.66,1.0,20.0,33.9,274.0,0.3,10.59
2023-01-01 22:00:00,1,1,1.31,5.19,20.12,35.7,274.0,3.19,13.9
2023-01-01 22:15:00,1,1,1.41,2.19,19.91,36.9,274.0,0.7,-6.51
2023-01-01 22:30:00,1,1,1.47,-2.81,16.0,32.75,274.0,-0.3,0.0
2023-01-01 22:45:00,1,1,1.47,-1.7,16.62,31.67,274.0,-0.3,0.0
2023-01-01 23:00:00,1,1,1.16,-6.78,16.62,32.15,274.0,-0.3,0.0
2023-01-01 23:15:00,1,1,1.55,-7.8,15.94,32.1,274.0,-0.3,0.0
2023-01-01 23:30:00,1,1,1.54,26.23,15.75,31.83,274.0,-0.3,0.0
2023-01-01 23:45:00,1,1,1.26,12.93,15.5,31.45,274.0,-0.3,0.0
2023-01-02 00:00:00,1,2,0.94,15.23,14.88,31.08,274.0,-0.3,0.0
2023-01-02 00:15:00,1,2,0.85,28.85,14.69,30.85,274.0,-0.3,0.0
2023-01-02 00:30:00,1,2,0.95,10.11,14.56,30.38,274.0,-0.3,0.0
2023-01-02 00:45:00,1,2,0.66,3.0,14.25,30.27,274.0,-0.3,0.0
2023-01-02 01:00:00,1,2,0.69,-43.84,13.75,30.05,274.0,-0.3,0.0
2023-01-02 01:15:00,1,2,0.89,-67.88,13.69,29.65,274.0,-0.3,0.0
2023-01-02 01:30:00,1,2,0.48,-117.9,13.5,29.25,274.0,-0.3,0.0
2023-01-02 01:45:00,1,2,0.41,-96.66,13.56,29.1,274.0,-0.3,0.0
2023-01-02 02:00:00,1,2,0.95,-172.28,13.25,28.95,274.0,-0.3,0.0
2023-01-02 02:15:00,1,2,1.06,128.84,13.88,28.73,274.0,-0.3,0.0
2023-01-02 02:30:00,1,2,1.11,-173.8,14.06,28.5,274.0,-0.3,0.0
2023-01-02 02:45:00,1,2,0.79,169.32,13.75,28.6,274.0,-0.3,0.0
2023-01-02 03:00:00,1,2,1.08,167.32,13.75,28.5,274.0,-0.3,0.0
2023-01-02 03:15:00,1,2,1.38,-157.0,14.25,28.4,274.0,-0.3,0.0
2023-01-02 03:30:00,1,2,1.09,109.66,13.75,28.3,274.0,-0.3,0.0
2023-01-02 03:45:00,1,2,1.09,152.28,13.88,28.25,274.0,-0.3,0.0
2023-01-02 04:00:00,1,2,1.3,-34.19,14.38,28.27,274.0,-0.3,0.0
2023-01-02 04:15:00,1,2,2.56,-157.28,14.88,28.1,274.0,-0.3,0.0
2023-01-02 04:30:00,1,2,2.41,10.26,14.69,28.05,113.5,-0.7,0.0
