date,customer_base,new_customers,lost_customers,churn_rate_pct,marketing_spend_kusd,price_index
2024-01-01,12544,19,5,0.044,22.3,1.002
2024-01-02,12558,40,12,0.093,24.31,0.998
2024-01-03,12611,29,13,0.1,26.43,0.985
2024-01-04,12530,32,12,0.093,24.46,1.019
2024-01-05,12588,26,12,0.098,28.81,1.004
2024-01-06,12570,27,17,0.136,30.73,1.004
2024-01-07,12539,32,15,0.122,24.54,1.001
2024-01-08,12480,31,21,0.166,30.05,1.011
2024-01-09,12582,36,3,0.021,27.33,1.003
2024-01-10,12556,25,22,0.177,28.57,1.0
2024-01-11,12630,27,10,0.083,27.47,1.001
2024-01-12,12588,31,21,0.17,30.98,1.016
2024-01-13,12607,31,12,0.094,28.86,1.006
2024-01-14,12538,30,16,0.128,27.12,1.004
2024-01-15,12580,22,8,0.064,26.89,1.0
2024-01-16,12487,23,7,0.059,24.8,1.001
2024-01-17,12603,29,17,0.138,26.19,1.016
2024-01-18,12638,22,0,0.0,30.43,0.996
2024-01-19,12651,25,8,0.059,29.79,1.012
2024-01-20,12577,28,18,0.146,25.14,1.013
2024-01-21,12516,24,12,0.095,23.61,1.008
2024-01-22,12578,29,9,0.074,28.31,1.004
2024-01-23,12603,27,22,0.177,26.55,0.992
2024-01-24,12628,23,25,0.194,20.05,1.014
2024-01-25,12523,26,14,0.111,31.7,0.991
2024-01-26,12614,33,21,0.168,24.03,1.009
2024-01-27,12576,30,23,0.179,27.75,1.008
2024-01-28,12693,28,14,0.112,23.44,1.016
2024-01-29,12527,27,11,0.09,19.93,0.999
2024-01-30,12682,23,15,0.115,22.56,0.999
