timestamp,demand_mw,temperature_c,day_of_week,hour,holiday_flag
2024-01-01 00:00:00,1079.26,20.58,0,0,1
2024-01-01 01:00:00,1103.24,19.3,0,1,1
2024-01-01 02:00:00,10066.83,21.96,0,2,1
2024-01-01 03:00:00,10110.3,22.84,0,3,1
2024-01-01 04:00:00,10127.28,20.1,0,4,1
2024-01-01 05:00:00,1225.02,21.66,0,5,1
2024-01-01 06:00:00,1244.23,24.15,0,6,1
2024-01-01 07:00:00,1215.87,24.32,0,7,1
2024-01-01 08:00:00,1281.98,25.28,0,8,1
2024-01-01 09:00:00,1331.29,24.72,0,9,1
2024-01-01 10:00:00,1388.18,27.06,0,10,1
2024-01-01 11:00:00,1382.34,27.0,0,11,1
2024-01-01 12:00:00,144.08,26.0,0,12,1
2024-01-01 13:00:00,141.26,26.94,0,13,1
2024-01-01 14:00:00,1383.44,25.64,0,14,1
2024-01-01 15:00:00,1306.05,23.4,0,15,1
2024-01-01 16:00:00,1310.6,24.14,0,16,1
2024-01-01 17:00:00,1250.14,21.76,0,17,1
2024-01-01 18:00:00,1216.04,23.2,0,18,1
2024-01-01 19:00:00,1199.48,21.38,0,19,1
2024-01-01 20:00:00,1116.44,20.62,0,20,1
2024-01-01 21:00:00,1158.42,19.58,0,21,1
2024-01-01 22:00:00,1105.05,21.6,0,22,1
2024-01-01 23:00:00,1115.23,19.89,0,23,1
2024-01-02 00:00:00,1065.58,19.77,1,0,0
2024-01-02 01:00:00,1073.7,20.2,1,1,0
2024-01-02 02:00:00,1082.43,21.77,1,2,0
2024-01-02 03:00:00,1135.75,22.21,1,3,0
2024-01-02 04:00:00,1160.69,23.01,1,4,0
2024-01-02 05:00:00,1182.78,23.81,1,5,0
