timestamp,wind_mw,wind_speed_ms,gust_speed_ms,wind_direction_deg,air_density,hour
2024-01-01 00:00:00,108.23,10.73,12.89,188.3,1.197,0
2024-01-01 01:00:00,133.86,13.32,15.83,190.5,1.192,1
2024-01-01 02:00:00,129.56,11.46,11.46,242.8,1.216,2
2024-01-01 03:00:00,106.96,10.35,12.02,203.4,1.214,3
2024-01-01 04:00:00,60.7,8.62,10.5,225.7,1.201,4
2024-01-01 05:00:00,88.51,9.9,10.13,210.1,1.205,5
2024-01-01 06:00:00,89.39,10.06,10.88,166.5,1.194,6
2024-01-01 07:00:00,55.64,8.46,9.19,229.0,1.175,7
2024-01-01 08:00:00,21.3,6.72,9.44,237.2,1.193,8
2024-01-01 09:00:00,14.15,5.51,8.04,256.4,1.208,9
2024-01-01 10:00:00,38.46,7.68,8.14,162.9,1.205,10
2024-01-01 11:00:00,0.0,4.41,4.44,131.4,1.197,11
2024-01-01 12:00:00,20.7,6.04,7.86,226.3,1.208,12
2024-01-01 13:00:00,0.0,2.42,4.05,195.4,1.196,13
2024-01-01 14:00:00,47.89,8.3,10.5,174.6,1.189,14
2024-01-01 15:00:00,67.65,8.99,9.34,213.1,1.208,15
2024-01-01 16:00:00,38.76,7.26,9.04,199.1,1.194,16
2024-01-01 17:00:00,108.95,10.7,11.31,178.5,1.211,17
2024-01-01 18:00:00,89.11,10.17,11.87,208.3,1.181,18
2024-01-01 19:00:00,64.24,8.99,10.16,224.5,1.195,19
2024-01-01 20:00:00,52.21,8.31,11.03,214.7,1.206,20
2024-01-01 21:00:00,57.62,8.26,9.82,214.9,1.205,21
2024-01-01 22:00:00,98.88,10.24,11.19,221.5,1.198,22
2024-01-01 23:00:00,74.75,9.24,10.55,168.1,1.203,23
2024-01-02 00:00:00,125.96,11.35,12.47,233.4,1.202,0
2024-01-02 01:00:00,127.19,11.58,11.86,240.7,1.186,1
2024-01-02 02:00:00,82.15,10.04,12.78,225.3,1.197,2
2024-01-02 03:00:00,142.55,12.31,14.79,214.0,1.203,3
2024-01-02 04:00:00,84.98,9.73,10.79,216.1,1.206,4
2024-01-02 05:00:00,83.06,9.89,11.65,227.4,1.2,5
